name,phone,address,website,rating,user_ratings_total
City Gayri̇menkul TÜRKİYE Alper Demirtaş,(0216) 566 31 20,"Ateş Er Apt, Feneryolu, Mustafa Mazhar Bey Sokağı No:41/A, 34724 Kadıköy/İstanbul, Türkiye",http://www.citygayrimenkul.com.tr/,4.6,29
Erdal Çolak Gayrimenkul,(0216) 386 16 95,"Göztepe, Ömer Paşa Sk. no:37/A, 34738 Kadıköy/İstanbul, Türkiye",https://erdalcolakgayrimenkul.sahibinden.com/,4.5,26
Emlakİste,(0216) 418 60 55,"Acıbadem, Acıbadem Cd. No:19, 34718 Kadıköy/İstanbul, Türkiye",,4.8,12
KADIKÖY NOKTA EMLAK,(0216) 449 42 72,"Rasimpaşa, Halitağa Cd. No:72/4, 34716 Kadıköy/İstanbul, Türkiye",,4.5,16
Class Gayrimenkul Danışmanlık,0532 224 27 15,"Halitağa Cad. Osmanağa Mah. Yıldırım Han No:17, Osmanağa, Vahap Bey Sk., 34714 Kadıköy/İstanbul, Türkiye",http://www.classemlak.com/,4.4,22
Remax,(0216) 572 46 46,"Sahrayıcedit Mah. Batman Sok. Royal Plaza No:18 K: 13, Sahrayıcedit/Kadıköy, Sahrayı Cedit, 34734 Kadıköy/İstanbul, Türkiye",https://www.remaxjoker.com/,4.6,56
Realty Box Ender Gayrimenkul Erenköy,(0216) 385 45 19,"Erenköy Mh., Hacı Hakkı Bey Sokak No:29 Aksu Apt. Daire:6, Erenköy, 34738 Kadıköy/İstanbul, Türkiye",https://realtyboxendergayrimenkulerenkoy.sahibinden.com/,5,149
Pera İstanbul Gayrimenkul & Yapı,(0216) 372 17 22,"Kozyatağı, Kocayol Cd. No:33/B, 34742 Kadıköy/İstanbul, Türkiye",,4.3,6
İstanbul Gayrimenkul,(0216) 380 10 60,"Kozyatağı, Hilmi Paşa Sk 37/C, 34742 Kadıköy/İstanbul, Türkiye",,5,1
İSTANBUL EMLAK OFİSİ,(0216) 346 72 69,"Feneryolu, Bağdat Cad. Köşk Apt. No:108 D:1, Fenerbahçe, 34726 Kadıköy/Istanbul - Asia, Türkiye",http://www.istanbulemlak.com.tr/,5,4
Berk Emlak,(0216) 349 24 93,"Rasimpaşa, Yavuztürk Sk. 20/2, 34716 Kadıköy/İstanbul, Türkiye",https://berkemlakkadikoy.sahibinden.com/,5,8
Dilge Emlak,0532 722 12 12,"Feneryolu, Bağdat Cad. No:146/4, 34724 Kadıköy/İstanbul, Türkiye",http://www.dilgeemlak.com/,4.7,25
Turyap Kadıköy,0544 193 38 38,"Fikirtepe, Mandıra Cd. 58a, 34720 Kadıköy/İstanbul, Türkiye",https://www.turyap.com.tr/,4.8,16
